#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_id,channel_name,total_subscribers,total_views,total_videos
87,ABP NEWS @UCRWFSbif-RFENbBrSiez1DA,33.5M,-,India,,10.1M,UCRWFSbif-RFENbBrSiez1DA,ABP NEWS,50100000,25497458061,548576
88,VEGETTA777 @UCam8T03EOFBsNdR0thrFHdQ,33.5M,-,,,10.1M,UCam8T03EOFBsNdR0thrFHdQ,VEGETTA777,34600000,16335940207,8755
89,Markiplier @UC7_YxT-KID8kRbqZo7MyscQ,33.5M,0.40%,United States,,10.1M,UC7_YxT-KID8kRbqZo7MyscQ,Markiplier,38500000,23322673523,5818
90,Desi Music Factory @UCLtNvbkqea8wN_kGtfgx_Mw,33M,1.80%,India,,9.9M,UCLtNvbkqea8wN_kGtfgx_Mw,Desi Music Factory,34200000,11346394168,329
91,NoCopyrightSounds @UC_aEa8K-EOJ3D6gOs7HcyNg,32.9M,-,United Kingdom,Music,9.9M,UC_aEa8K-EOJ3D6gOs7HcyNg,NoCopyrightSounds,34300000,12267549555,2079
92,Geet MP3 @UClZF7OsrECe3t_ADrjZEh_Q,32.7M,-,,Music,9.8M,UClZF7OsrECe3t_ADrjZEh_Q,Geet MP3,36700000,15636642834,831
93,Ryan's World @UChGJGhZ9SOOHvBB0Y4DOO_w,32.7M,-,,Music,9.8M,UChGJGhZ9SOOHvBB0Y4DOO_w,Ryan's World,40200000,63181881193,3628
94,Bollywood Classics @UCRm96I5kmb_iGFofE5N691w,32.7M,-,India,,9.8M,UCRm96I5kmb_iGFofE5N691w,T-Series Bollywood Classics,52100000,38978804372,2878
95,Sony PAL @UCw7xjxzbMwgBSmbeYwqYRMg,32.6M,-,,,9.8M,UCw7xjxzbMwgBSmbeYwqYRMg,Sony PAL,47100000,37978110553,34592
96,Like Nastya ESP @UCpEJRZdSpdVZ8vh63T9I2KQ,32.5M,-,,,9.8M,UCpEJRZdSpdVZ8vh63T9I2KQ,Like Nastya ESP,43400000,22791130081,1046
97,La Granja de Zenón @UCwpcLKMwiuPg4aqImpGk6Ew,32.3M,-,Argentina,,9.7M,UCwpcLKMwiuPg4aqImpGk6Ew,La Granja de Zenón,45400000,39699342103,1221
98,Alfredo Larin @alfredolarin,32.3M,-,El Salvador,,9.7M,alfredolarin,,,,
99,Mikecrack @UCqJ5zFEED1hWs0KNQCQuYdQ,32.2M,0.60%,Spain,,9.7M,UCqJ5zFEED1hWs0KNQCQuYdQ,Mikecrack,58100000,21583354008,2237
100,Saregama Music @UC_A7K2dXFsTMAciGmnNxy-Q,32.1M,-,India,,9.6M,UC_A7K2dXFsTMAciGmnNxy-Q,Saregama Music,61100000,32433802152,10512
